phase,split,eval_idx,global_step,tokens_seen,loss,attention_type,positional_mode,drop_positions_tokens,hidden_size,n_layers,head_size,seed,acc,f1,mcc
protein,valid_long,14,15000,594251982,2.5625,bidirectional,rotary,-1,768,12,64,11,0.2182056469570307,0.2182056469570307,0.1595434476331554
protein,train,15,16000,633868779,2.5189375,bidirectional,rotary,-1,768,12,64,11,,,
protein,valid_short,15,16000,633868779,2.484375,bidirectional,rotary,-1,768,12,64,11,0.2426867801447355,0.2426867801447355,0.18661459471246045
protein,valid_long,15,16000,633868779,2.53125,bidirectional,rotary,-1,768,12,64,11,0.22860428672530583,0.22860428672530583,0.16994318642556644
protein,train,16,17000,673525684,2.515,bidirectional,rotary,-1,768,12,64,11,,,
protein,valid_short,16,17000,673525684,2.4921875,bidirectional,rotary,-1,768,12,64,11,0.23703217334208798,0.23703217334208798,0.18090972994963606
protein,valid_long,16,17000,673525684,2.546875,bidirectional,rotary,-1,768,12,64,11,0.22455382661162274,0.22455382661162274,0.16692027179066068
protein,train,17,18000,713212112,2.5116875,bidirectional,rotary,-1,768,12,64,11,,,
protein,valid_short,17,18000,713212112,2.484375,bidirectional,rotary,-1,768,12,64,11,0.2433040278061746,0.2433040278061746,0.1866856941612496
protein,valid_long,17,18000,713212112,2.53125,bidirectional,rotary,-1,768,12,64,11,0.2287609944582846,0.2287609944582846,0.17037775375306152
protein,train,18,19000,752794869,2.509703125,bidirectional,rotary,-1,768,12,64,11,,,
protein,valid_short,18,19000,752794869,2.4765625,bidirectional,rotary,-1,768,12,64,11,0.24162740031413082,0.24162740031413082,0.18501872782266313
protein,valid_long,18,19000,752794869,2.5390625,bidirectional,rotary,-1,768,12,64,11,0.22470189118711867,0.22470189118711867,0.16735540983374964
protein,train,19,20000,792399283,2.5063125,bidirectional,rotary,-1,768,12,64,11,,,
protein,valid_short,19,20000,792399283,2.484375,bidirectional,rotary,-1,768,12,64,11,0.24196540486337428,0.24196540486337428,0.18547820017877736
