"Step","s33_dual_triangle_rotary_drop-1 - train/loss","s33_dual_triangle_rotary_drop-1 - train/loss__MIN","s33_dual_triangle_rotary_drop-1 - train/loss__MAX","s33_dual_triangle_rotary_drop700000000 - train/loss","s33_dual_triangle_rotary_drop700000000 - train/loss__MIN","s33_dual_triangle_rotary_drop700000000 - train/loss__MAX","s33_dual_triangle_none_drop-1 - train/loss","s33_dual_triangle_none_drop-1 - train/loss__MIN","s33_dual_triangle_none_drop-1 - train/loss__MAX","s33_causal_rotary_drop-1 - train/loss","s33_causal_rotary_drop-1 - train/loss__MIN","s33_causal_rotary_drop-1 - train/loss__MAX","s33_causal_rotary_drop700000000 - train/loss","s33_causal_rotary_drop700000000 - train/loss__MIN","s33_causal_rotary_drop700000000 - train/loss__MAX","s33_causal_none_drop-1 - train/loss","s33_causal_none_drop-1 - train/loss__MIN","s33_causal_none_drop-1 - train/loss__MAX","s33_bidirectional_rotary_drop-1 - train/loss","s33_bidirectional_rotary_drop-1 - train/loss__MIN","s33_bidirectional_rotary_drop-1 - train/loss__MAX","s33_bidirectional_rotary_drop700000000 - train/loss","s33_bidirectional_rotary_drop700000000 - train/loss__MIN","s33_bidirectional_rotary_drop700000000 - train/loss__MAX","s33_bidirectional_none_drop-1 - train/loss","s33_bidirectional_none_drop-1 - train/loss__MIN","s33_bidirectional_none_drop-1 - train/loss__MAX","s22_dual_triangle_rotary_drop-1 - train/loss","s22_dual_triangle_rotary_drop-1 - train/loss__MIN","s22_dual_triangle_rotary_drop-1 - train/loss__MAX","s22_dual_triangle_rotary_drop700000000 - train/loss","s22_dual_triangle_rotary_drop700000000 - train/loss__MIN","s22_dual_triangle_rotary_drop700000000 - train/loss__MAX","s22_dual_triangle_none_drop-1 - train/loss","s22_dual_triangle_none_drop-1 - train/loss__MIN","s22_dual_triangle_none_drop-1 - train/loss__MAX","s22_causal_rotary_drop-1 - train/loss","s22_causal_rotary_drop-1 - train/loss__MIN","s22_causal_rotary_drop-1 - train/loss__MAX","s22_causal_rotary_drop700000000 - train/loss","s22_causal_rotary_drop700000000 - train/loss__MIN","s22_causal_rotary_drop700000000 - train/loss__MAX","s22_causal_none_drop-1 - train/loss","s22_causal_none_drop-1 - train/loss__MIN","s22_causal_none_drop-1 - train/loss__MAX","s22_bidirectional_rotary_drop-1 - train/loss","s22_bidirectional_rotary_drop-1 - train/loss__MIN","s22_bidirectional_rotary_drop-1 - train/loss__MAX","s22_bidirectional_rotary_drop700000000 - train/loss","s22_bidirectional_rotary_drop700000000 - train/loss__MIN","s22_bidirectional_rotary_drop700000000 - train/loss__MAX","s22_bidirectional_none_drop-1 - train/loss","s22_bidirectional_none_drop-1 - train/loss__MIN","s22_bidirectional_none_drop-1 - train/loss__MAX","s11_dual_triangle_rotary_drop-1 - train/loss","s11_dual_triangle_rotary_drop-1 - train/loss__MIN","s11_dual_triangle_rotary_drop-1 - train/loss__MAX","s11_dual_triangle_rotary_drop700000000 - train/loss","s11_dual_triangle_rotary_drop700000000 - train/loss__MIN","s11_dual_triangle_rotary_drop700000000 - train/loss__MAX","s11_dual_triangle_none_drop-1 - train/loss","s11_dual_triangle_none_drop-1 - train/loss__MIN","s11_dual_triangle_none_drop-1 - train/loss__MAX","s11_causal_rotary_drop-1 - train/loss","s11_causal_rotary_drop-1 - train/loss__MIN","s11_causal_rotary_drop-1 - train/loss__MAX","s11_causal_rotary_drop700000000 - train/loss","s11_causal_rotary_drop700000000 - train/loss__MIN","s11_causal_rotary_drop700000000 - train/loss__MAX","s11_causal_none_drop-1 - train/loss","s11_causal_none_drop-1 - train/loss__MIN","s11_causal_none_drop-1 - train/loss__MAX","s11_bidirectional_rotary_drop-1 - train/loss","s11_bidirectional_rotary_drop-1 - train/loss__MIN","s11_bidirectional_rotary_drop-1 - train/loss__MAX","s11_bidirectional_rotary_drop700000000 - train/loss","s11_bidirectional_rotary_drop700000000 - train/loss__MIN","s11_bidirectional_rotary_drop700000000 - train/loss__MAX","s11_bidirectional_none_drop-1 - train/loss","s11_bidirectional_none_drop-1 - train/loss__MIN","s11_bidirectional_none_drop-1 - train/loss__MAX"
"1100","2.63203125","2.63203125","2.63203125","2.6321875","2.6321875","2.6321875","2.631875","2.631875","2.631875","2.6465625","2.6465625","2.6465625","2.64640625","2.64640625","2.64640625","2.64640625","2.64640625","2.64640625","2.64765625","2.64765625","2.64765625","2.64765625","2.64765625","2.64765625","2.648125","2.648125","2.648125","2.6309375","2.6309375","2.6309375","2.6309375","2.6309375","2.6309375","2.6309375","2.6309375","2.6309375","2.64625","2.64625","2.64625","2.64640625","2.64640625","2.64640625","2.64671875","2.64671875","2.64671875","2.65015625","2.65015625","2.65015625","2.65015625","2.65015625","2.65015625","2.65078125","2.65078125","2.65078125","2.6278125","2.6278125","2.6278125","2.6278125","2.6278125","2.6278125","2.62796875","2.62796875","2.62796875","2.64421875","2.64421875","2.64421875","2.6440625","2.6440625","2.6440625","2.6440625","2.6440625","2.6440625","2.64671875","2.64671875","2.64671875","2.64671875","2.64671875","2.64671875","2.6475","2.6475","2.6475"
"1200","2.6271875","2.6271875","2.6271875","2.62703125","2.62703125","2.62703125","2.62734375","2.62734375","2.62734375","2.64390625","2.64390625","2.64390625","2.6440625","2.6440625","2.6440625","2.64390625","2.64390625","2.64390625","2.648125","2.648125","2.648125","2.648125","2.648125","2.648125","2.6484375","2.6484375","2.6484375","2.6278125","2.6278125","2.6278125","2.6278125","2.6278125","2.6278125","2.6278125","2.6278125","2.6278125","2.64609375","2.64609375","2.64609375","2.64609375","2.64609375","2.64609375","2.64625","2.64625","2.64625","2.64765625","2.64765625","2.64765625","2.64765625","2.64765625","2.64765625","2.64875","2.64875","2.64875","2.62703125","2.62703125","2.62703125","2.626875","2.626875","2.626875","2.62703125","2.62703125","2.62703125","2.6440625","2.6440625","2.6440625","2.6440625","2.6440625","2.6440625","2.64390625","2.64390625","2.64390625","2.64640625","2.64640625","2.64640625","2.64640625","2.64640625","2.64640625","2.6478125","2.6478125","2.6478125"
"1300","2.62703125","2.62703125","2.62703125","2.62703125","2.62703125","2.62703125","2.6271875","2.6271875","2.6271875","2.64390625","2.64390625","2.64390625","2.64390625","2.64390625","2.64390625","2.644375","2.644375","2.644375","2.64515625","2.64515625","2.64515625","2.64515625","2.64515625","2.64515625","2.64640625","2.64640625","2.64640625","2.6271875","2.6271875","2.6271875","2.6271875","2.6271875","2.6271875","2.6275","2.6275","2.6275","2.64671875","2.64671875","2.64671875","2.6465625","2.6465625","2.6465625","2.64671875","2.64671875","2.64671875","2.64265625","2.64265625","2.64265625","2.64265625","2.64265625","2.64265625","2.64359375","2.64359375","2.64359375","2.6246875","2.6246875","2.6246875","2.62453125","2.62453125","2.62453125","2.6246875","2.6246875","2.6246875","2.6440625","2.6440625","2.6440625","2.6440625","2.6440625","2.6440625","2.64453125","2.64453125","2.64453125","2.64546875","2.64546875","2.64546875","2.64546875","2.64546875","2.64546875","2.64578125","2.64578125","2.64578125"
"1400","2.623125","2.623125","2.623125","2.623125","2.623125","2.623125","2.6234375","2.6234375","2.6234375","2.64171875","2.64171875","2.64171875","2.64171875","2.64171875","2.64171875","2.64203125","2.64203125","2.64203125","2.64671875","2.64671875","2.64671875","2.64671875","2.64671875","2.64671875","2.64828125","2.64828125","2.64828125","2.6228125","2.6228125","2.6228125","2.6228125","2.6228125","2.6228125","2.623125","2.623125","2.623125","2.641875","2.641875","2.641875","2.641875","2.641875","2.641875","2.64234375","2.64234375","2.64234375","2.6446875","2.6446875","2.6446875","2.6446875","2.6446875","2.6446875","2.64578125","2.64578125","2.64578125","2.62296875","2.62296875","2.62296875","2.62296875","2.62296875","2.62296875","2.62328125","2.62328125","2.62328125","2.63921875","2.63921875","2.63921875","2.63953125","2.63953125","2.63953125","2.64","2.64","2.64","2.644375","2.644375","2.644375","2.644375","2.644375","2.644375","2.64578125","2.64578125","2.64578125"
"1500","2.62109375","2.62109375","2.62109375","2.62109375","2.62109375","2.62109375","2.6215625","2.6215625","2.6215625","2.63734375","2.63734375","2.63734375","2.63734375","2.63734375","2.63734375","2.6375","2.6375","2.6375","2.6421875","2.6421875","2.6421875","2.6421875","2.6421875","2.6421875","2.64390625","2.64390625","2.64390625","2.62359375","2.62359375","2.62359375","2.62359375","2.62359375","2.62359375","2.62359375","2.62359375","2.62359375","2.640625","2.640625","2.640625","2.64078125","2.64078125","2.64078125","2.64109375","2.64109375","2.64109375","2.64203125","2.64203125","2.64203125","2.64203125","2.64203125","2.64203125","2.64453125","2.64453125","2.64453125","2.62140625","2.62140625","2.62140625","2.62140625","2.62140625","2.62140625","2.62140625","2.62140625","2.62140625","2.64125","2.64125","2.64125","2.64140625","2.64140625","2.64140625","2.641875","2.641875","2.641875","2.64359375","2.64359375","2.64359375","2.64359375","2.64359375","2.64359375","2.6453125","2.6453125","2.6453125"
"1600","2.61921875","2.61921875","2.61921875","2.61921875","2.61921875","2.61921875","2.62","2.62","2.62","2.64","2.64","2.64","2.64","2.64","2.64","2.64015625","2.64015625","2.64015625","2.64125","2.64125","2.64125","2.64125","2.64125","2.64125","2.64328125","2.64328125","2.64328125","2.62046875","2.62046875","2.62046875","2.62046875","2.62046875","2.62046875","2.620625","2.620625","2.620625","2.63703125","2.63703125","2.63703125","2.636875","2.636875","2.636875","2.6378125","2.6378125","2.6378125","2.6371875","2.6371875","2.6371875","2.6371875","2.6371875","2.6371875","2.64046875","2.64046875","2.64046875","2.6203125","2.6203125","2.6203125","2.6203125","2.6203125","2.6203125","2.62140625","2.62140625","2.62140625","2.63578125","2.63578125","2.63578125","2.63546875","2.63546875","2.63546875","2.63671875","2.63671875","2.63671875","2.64046875","2.64046875","2.64046875","2.64046875","2.64046875","2.64046875","2.6421875","2.6421875","2.6421875"
"1700","2.61859375","2.61859375","2.61859375","2.6184375","2.6184375","2.6184375","2.62","2.62","2.62","2.63671875","2.63671875","2.63671875","2.636875","2.636875","2.636875","2.63734375","2.63734375","2.63734375","2.63890625","2.63890625","2.63890625","2.63890625","2.63890625","2.63890625","2.64171875","2.64171875","2.64171875","2.62140625","2.62140625","2.62140625","2.62140625","2.62140625","2.62140625","2.6221875","2.6221875","2.6221875","2.63671875","2.63671875","2.63671875","2.63671875","2.63671875","2.63671875","2.63703125","2.63703125","2.63703125","2.641875","2.641875","2.641875","2.641875","2.641875","2.641875","2.645625","2.645625","2.645625","2.61484375","2.61484375","2.61484375","2.61484375","2.61484375","2.61484375","2.6153125","2.6153125","2.6153125","2.6375","2.6375","2.6375","2.63734375","2.63734375","2.63734375","2.638125","2.638125","2.638125","2.6409375","2.6409375","2.6409375","2.6409375","2.6409375","2.6409375","2.6434375","2.6434375","2.6434375"
"1800","2.6153125","2.6153125","2.6153125","2.6153125","2.6153125","2.6153125","2.6159375","2.6159375","2.6159375","2.63609375","2.63609375","2.63609375","2.63625","2.63625","2.63625","2.63640625","2.63640625","2.63640625","2.6403125","2.6403125","2.6403125","2.6403125","2.6403125","2.6403125","2.64328125","2.64328125","2.64328125","2.61625","2.61625","2.61625","2.6165625","2.6165625","2.6165625","2.616875","2.616875","2.616875","2.63578125","2.63578125","2.63578125","2.63578125","2.63578125","2.63578125","2.63703125","2.63703125","2.63703125","2.63875","2.63875","2.63875","2.63875","2.63875","2.63875","2.64390625","2.64390625","2.64390625","2.6190625","2.6190625","2.6190625","2.6190625","2.6190625","2.6190625","2.61984375","2.61984375","2.61984375","2.63546875","2.63546875","2.63546875","2.6353125","2.6353125","2.6353125","2.6371875","2.6371875","2.6371875","2.6365625","2.6365625","2.6365625","2.6365625","2.6365625","2.6365625","2.64125","2.64125","2.64125"
"1900","2.61640625","2.61640625","2.61640625","2.61640625","2.61640625","2.61640625","2.618125","2.618125","2.618125","2.6353125","2.6353125","2.6353125","2.63515625","2.63515625","2.63515625","2.636875","2.636875","2.636875","2.63484375","2.63484375","2.63484375","2.63484375","2.63484375","2.63484375","2.64","2.64","2.64","2.614375","2.614375","2.614375","2.614375","2.614375","2.614375","2.615625","2.615625","2.615625","2.6315625","2.6315625","2.6315625","2.6315625","2.6315625","2.6315625","2.63390625","2.63390625","2.63390625","2.63515625","2.63515625","2.63515625","2.63515625","2.63515625","2.63515625","2.64109375","2.64109375","2.64109375","2.61125","2.61125","2.61125","2.61125","2.61125","2.61125","2.614375","2.614375","2.614375","2.6328125","2.6328125","2.6328125","2.63296875","2.63296875","2.63296875","2.63421875","2.63421875","2.63421875","2.635","2.635","2.635","2.635","2.635","2.635","2.64125","2.64125","2.64125"
"2000","2.621140625","2.621140625","2.621140625","2.621140625","2.621140625","2.621140625","2.62203125","2.62203125","2.62203125","2.63965625","2.63965625","2.63965625","2.639671875","2.639671875","2.639671875","2.640140625","2.640140625","2.640140625","2.641421875","2.641421875","2.641421875","2.641421875","2.641421875","2.641421875","2.64440625","2.64440625","2.64440625","2.621734375","2.621734375","2.621734375","2.62178125","2.62178125","2.62178125","2.622328125","2.622328125","2.622328125","2.639515625","2.639515625","2.639515625","2.639515625","2.639515625","2.639515625","2.6403125","2.6403125","2.6403125","2.641046875","2.641046875","2.641046875","2.641046875","2.641046875","2.641046875","2.6444375","2.6444375","2.6444375","2.620296875","2.620296875","2.620296875","2.62025","2.62025","2.62025","2.62125","2.62125","2.62125","2.638578125","2.638578125","2.638578125","2.6385625","2.6385625","2.6385625","2.639390625","2.639390625","2.639390625","2.641078125","2.641078125","2.641078125","2.641078125","2.641078125","2.641078125","2.644296875","2.644296875","2.644296875"
