phase,split,eval_idx,global_step,tokens_seen,loss,attention_type,positional_mode,drop_positions_tokens,hidden_size,n_layers,head_size,seed,acc,f1,mcc
protein,valid_short,6,7000,277317608,2.5390625,bidirectional,rotary,700000000,768,12,64,11,0.22414053455478936,0.22414053455478936,0.16540828037710584
protein,valid_long,6,7000,277317608,2.5703125,bidirectional,rotary,700000000,768,12,64,11,0.21356340798071433,0.21356340798071433,0.15304930569827568
protein,train,7,8000,316873237,2.557953125,bidirectional,rotary,700000000,768,12,64,11,,,
protein,valid_short,7,8000,316873237,2.53125,bidirectional,rotary,700000000,768,12,64,11,0.22813938198553582,0.22813938198553582,0.1701295399670748
protein,valid_long,7,8000,316873237,2.5625,bidirectional,rotary,700000000,768,12,64,11,0.21736036997509783,0.21736036997509783,0.1576223426440011
protein,train,8,9000,356507531,2.550875,bidirectional,rotary,700000000,768,12,64,11,,,
protein,valid_short,8,9000,356507531,2.5234375,bidirectional,rotary,700000000,768,12,64,11,0.2292864045572453,0.2292864045572453,0.17118251901140652
protein,valid_long,8,9000,356507531,2.5625,bidirectional,rotary,700000000,768,12,64,11,0.2203137144968718,0.2203137144968718,0.1617192679471559
protein,train,9,10000,396143532,2.545484375,bidirectional,rotary,700000000,768,12,64,11,,,
protein,valid_short,9,10000,396143532,2.515625,bidirectional,rotary,700000000,768,12,64,11,0.22819028441983388,0.22819028441983388,0.17137590707231426
protein,valid_long,9,10000,396143532,2.5546875,bidirectional,rotary,700000000,768,12,64,11,0.2190668855045358,0.2190668855045358,0.160170056016693
protein,train,10,11000,435778347,2.539453125,bidirectional,rotary,700000000,768,12,64,11,,,
protein,valid_short,10,11000,435778347,2.515625,bidirectional,rotary,700000000,768,12,64,11,0.22751214523139862,0.22751214523139862,0.17040356835232412
protein,valid_long,10,11000,435778347,2.5625,bidirectional,rotary,700000000,768,12,64,11,0.21669341894060995,0.21669341894060995,0.1581195097374275
protein,train,11,12000,475451418,2.535296875,bidirectional,rotary,700000000,768,12,64,11,,,
protein,valid_short,11,12000,475451418,2.5078125,bidirectional,rotary,700000000,768,12,64,11,0.23278572152925667,0.23278572152925667,0.17590314684491137
protein,valid_long,11,12000,475451418,2.5625,bidirectional,rotary,700000000,768,12,64,11,0.22054307521757413,0.22054307521757413,0.1607609142381488
protein,train,12,13000,515055043,2.53084375,bidirectional,rotary,700000000,768,12,64,11,,,
protein,valid_short,12,13000,515055043,2.5078125,bidirectional,rotary,700000000,768,12,64,11,0.2332260207471,0.2332260207471,0.17664635949584914
protein,valid_long,12,13000,515055043,2.5546875,bidirectional,rotary,700000000,768,12,64,11,0.21985426423858806,0.21985426423858806,0.16081803970614736
protein,train,13,14000,554698855,2.527046875,bidirectional,rotary,700000000,768,12,64,11,,,
protein,valid_short,13,14000,554698855,2.4921875,bidirectional,rotary,700000000,768,12,64,11,0.2428454619787408,0.2428454619787408,0.18647366660277082
protein,valid_long,13,14000,554698855,2.5390625,bidirectional,rotary,700000000,768,12,64,11,0.22221231611793923,0.22221231611793923,0.16426951160396672
protein,train,14,15000,594251982,2.5230625,bidirectional,rotary,700000000,768,12,64,11,,,
protein,valid_short,14,15000,594251982,2.4921875,bidirectional,rotary,700000000,768,12,64,11,0.23654770944064793,0.23654770944064793,0.17923020773808843
protein,valid_long,14,15000,594251982,2.5625,bidirectional,rotary,700000000,768,12,64,11,0.2182056469570307,0.2182056469570307,0.1595434476331554
protein,train,15,16000,633868779,2.5189375,bidirectional,rotary,700000000,768,12,64,11,,,
protein,valid_short,15,16000,633868779,2.484375,bidirectional,rotary,700000000,768,12,64,11,0.2426867801447355,0.2426867801447355,0.18661459471246045
protein,valid_long,15,16000,633868779,2.53125,bidirectional,rotary,700000000,768,12,64,11,0.22860428672530583,0.22860428672530583,0.16994318642556644
protein,train,16,17000,673525684,2.515,bidirectional,rotary,700000000,768,12,64,11,,,
protein,valid_short,16,17000,673525684,2.4921875,bidirectional,rotary,700000000,768,12,64,11,0.23703217334208798,0.23703217334208798,0.18090972994963606
protein,valid_long,16,17000,673525684,2.546875,bidirectional,rotary,700000000,768,12,64,11,0.22455382661162274,0.22455382661162274,0.16692027179066068
protein,train,17,18000,713212112,2.5535,bidirectional,rotary,700000000,768,12,64,11,,,
protein,valid_short,17,18000,713212112,2.6171875,bidirectional,rotary,700000000,768,12,64,11,0.19944796565119607,0.19944796565119607,0.1385035401387337
protein,valid_long,17,18000,713212112,2.6015625,bidirectional,rotary,700000000,768,12,64,11,0.20095073465859983,0.20095073465859983,0.13984920805710116
protein,train,18,19000,752794869,2.636359375,bidirectional,rotary,700000000,768,12,64,11,,,
protein,valid_short,18,19000,752794869,2.6171875,bidirectional,rotary,700000000,768,12,64,11,0.19896640826873385,0.19896640826873385,0.13781787605999693
protein,valid_long,18,19000,752794869,2.609375,bidirectional,rotary,700000000,768,12,64,11,0.19977720954960884,0.19977720954960884,0.13935842363963172
protein,train,19,20000,792399283,2.63534375,bidirectional,rotary,700000000,768,12,64,11,,,
protein,valid_short,19,20000,792399283,2.6171875,bidirectional,rotary,700000000,768,12,64,11,0.19699172724993733,0.19699172724993733,0.13423131752228612
protein,valid_long,19,20000,792399283,2.609375,bidirectional,rotary,700000000,768,12,64,11,0.20105194953691352,0.20105194953691352,0.13925738269415955
protein,train,20,21000,832042000,2.634078125,bidirectional,rotary,700000000,768,12,64,11,,,
protein,valid_short,20,21000,832042000,2.625,bidirectional,rotary,700000000,768,12,64,11,0.19535310302659736,0.19535310302659736,0.13393924172756705
protein,valid_long,20,21000,832042000,2.609375,bidirectional,rotary,700000000,768,12,64,11,0.20223763080361679,0.20223763080361679,0.14139447468851266
protein,train,21,22000,871698306,2.634375,bidirectional,rotary,700000000,768,12,64,11,,,
protein,valid_short,21,22000,871698306,2.6171875,bidirectional,rotary,700000000,768,12,64,11,0.19853730885286144,0.19853730885286144,0.1367849716889349
protein,valid_long,21,22000,871698306,2.609375,bidirectional,rotary,700000000,768,12,64,11,0.20097141694639406,0.20097141694639406,0.13899345249455844
protein,train,22,23000,911298736,2.634484375,bidirectional,rotary,700000000,768,12,64,11,,,
protein,valid_short,22,23000,911298736,2.6171875,bidirectional,rotary,700000000,768,12,64,11,0.19774969173859433,0.19774969173859433,0.13531293379884582
protein,valid_long,22,23000,911298736,2.609375,bidirectional,rotary,700000000,768,12,64,11,0.20075366968389158,0.20075366968389158,0.13934329344664756
protein,train,23,24000,950970623,2.633671875,bidirectional,rotary,700000000,768,12,64,11,,,
protein,valid_short,23,24000,950970623,2.6171875,bidirectional,rotary,700000000,768,12,64,11,0.1991495030228507,0.1991495030228507,0.13611522933820885
protein,valid_long,23,24000,950970623,2.609375,bidirectional,rotary,700000000,768,12,64,11,0.19942170874919155,0.19942170874919155,0.13750790721183404
protein,train,24,25000,990557045,2.633046875,bidirectional,rotary,700000000,768,12,64,11,,,
protein,valid_short,24,25000,990557045,2.609375,bidirectional,rotary,700000000,768,12,64,11,0.19939654290682213,0.19939654290682213,0.1372300896874093
protein,valid_long,24,25000,990557045,2.609375,bidirectional,rotary,700000000,768,12,64,11,0.20028798246620028,0.20028798246620028,0.1378968001127174
protein,train,25,25239,1000033895,2.6319299163179917,bidirectional,rotary,700000000,768,12,64,11,,,
protein,valid_short,25,25239,1000033895,2.6015625,bidirectional,rotary,700000000,768,12,64,11,0.20298112631632498,0.20298112631632498,0.1416834347569574
protein,valid_long,25,25239,1000033895,2.609375,bidirectional,rotary,700000000,768,12,64,11,0.2011486982263492,0.2011486982263492,0.13956220655641255
protein,train,0,1000,39601271,2.760421875,causal,rotary,700000000,768,12,64,11,,,
protein,valid_short,0,1000,39601271,2.625,causal,rotary,700000000,768,12,64,11,0.1993006993006993,0.1993006993006993,0.13879461069278293
protein,valid_long,0,1000,39601271,2.640625,causal,rotary,700000000,768,12,64,11,0.19701458378364634,0.19701458378364634,0.13611713987040786
protein,train,1,2000,79271237,2.6385625,causal,rotary,700000000,768,12,64,11,,,
protein,valid_short,1,2000,79271237,2.6171875,causal,rotary,700000000,768,12,64,11,0.20278471974294895,0.20278471974294895,0.1412066675435124
protein,valid_long,1,2000,79271237,2.609375,causal,rotary,700000000,768,12,64,11,0.20050240363158767,0.20050240363158767,0.13801671219888254
protein,train,2,3000,118887464,2.627140625,causal,rotary,700000000,768,12,64,11,,,
protein,valid_short,2,3000,118887464,2.609375,causal,rotary,700000000,768,12,64,11,0.2023875765086752,0.2023875765086752,0.1442498108950063
protein,valid_long,2,3000,118887464,2.609375,causal,rotary,700000000,768,12,64,11,0.20134518315088173,0.20134518315088173,0.14269254741741572
protein,train,3,4000,158506944,2.618546875,causal,rotary,700000000,768,12,64,11,,,
protein,valid_short,3,4000,158506944,2.6015625,causal,rotary,700000000,768,12,64,11,0.20100273473108476,0.20100273473108476,0.1415404289458601
protein,valid_long,3,4000,158506944,2.59375,causal,rotary,700000000,768,12,64,11,0.20430436947114464,0.20430436947114464,0.143869365327103
protein,train,4,5000,198135791,2.614125,causal,rotary,700000000,768,12,64,11,,,
protein,valid_short,4,5000,198135791,2.59375,causal,rotary,700000000,768,12,64,11,0.20927876823338737,0.20927876823338737,0.1478484222170958
protein,valid_long,4,5000,198135791,2.5859375,causal,rotary,700000000,768,12,64,11,0.20719162841557848,0.20719162841557848,0.14701043115769558
protein,train,5,6000,237713489,2.611109375,causal,rotary,700000000,768,12,64,11,,,
protein,valid_short,5,6000,237713489,2.59375,causal,rotary,700000000,768,12,64,11,0.20616452337211677,0.20616452337211677,0.14552836177942516
protein,valid_long,5,6000,237713489,2.5859375,causal,rotary,700000000,768,12,64,11,0.21092283496524783,0.21092283496524783,0.15110304456504084
protein,train,6,7000,277317608,2.609078125,causal,rotary,700000000,768,12,64,11,,,
protein,valid_short,6,7000,277317608,2.59375,causal,rotary,700000000,768,12,64,11,0.20933069065406312,0.20933069065406312,0.14961343679533992
protein,valid_long,6,7000,277317608,2.59375,causal,rotary,700000000,768,12,64,11,0.20826538931920097,0.20826538931920097,0.14798734715771297
protein,train,7,8000,316873237,2.606515625,causal,rotary,700000000,768,12,64,11,,,
protein,valid_short,7,8000,316873237,2.578125,causal,rotary,700000000,768,12,64,11,0.2093697543110026,0.2093697543110026,0.15000096794387652
protein,valid_long,7,8000,316873237,2.5859375,causal,rotary,700000000,768,12,64,11,0.21098485809217035,0.21098485809217035,0.1518362343331474
protein,train,8,9000,356507531,2.60328125,causal,rotary,700000000,768,12,64,11,,,
protein,valid_short,8,9000,356507531,2.578125,causal,rotary,700000000,768,12,64,11,0.21260448182144506,0.21260448182144506,0.15224578251103918
protein,valid_long,8,9000,356507531,2.5859375,causal,rotary,700000000,768,12,64,11,0.21076870377183746,0.21076870377183746,0.14978564830485797
protein,train,9,10000,396143532,2.600578125,causal,rotary,700000000,768,12,64,11,,,
protein,valid_short,9,10000,396143532,2.5703125,causal,rotary,700000000,768,12,64,11,0.2116866004459761,0.2116866004459761,0.15069296078468447
protein,valid_long,9,10000,396143532,2.5859375,causal,rotary,700000000,768,12,64,11,0.20974073979656868,0.20974073979656868,0.14910238655134925
protein,train,10,11000,435778347,2.598515625,causal,rotary,700000000,768,12,64,11,,,
protein,valid_short,10,11000,435778347,2.5625,causal,rotary,700000000,768,12,64,11,0.21849041123987284,0.21849041123987284,0.15970482469298136
protein,valid_long,10,11000,435778347,2.5859375,causal,rotary,700000000,768,12,64,11,0.2107223490694797,0.2107223490694797,0.15080842915514753
protein,train,11,12000,475451418,2.5944375,causal,rotary,700000000,768,12,64,11,,,
protein,valid_short,11,12000,475451418,2.5703125,causal,rotary,700000000,768,12,64,11,0.2141733082897609,0.2141733082897609,0.15575722704763267
protein,valid_long,11,12000,475451418,2.5703125,causal,rotary,700000000,768,12,64,11,0.21467176545570427,0.21467176545570427,0.1552120652549465
protein,train,12,13000,515055043,2.594109375,causal,rotary,700000000,768,12,64,11,,,
protein,valid_short,12,13000,515055043,2.5703125,causal,rotary,700000000,768,12,64,11,0.22127507528967383,0.22127507528967383,0.16158282375608543
protein,valid_long,12,13000,515055043,2.578125,causal,rotary,700000000,768,12,64,11,0.21161244299508292,0.21161244299508292,0.15092651864079162
protein,train,13,14000,554698855,2.592421875,causal,rotary,700000000,768,12,64,11,,,
protein,valid_short,13,14000,554698855,2.5703125,causal,rotary,700000000,768,12,64,11,0.2140285033220064,0.2140285033220064,0.15412877034056646
protein,valid_long,13,14000,554698855,2.578125,causal,rotary,700000000,768,12,64,11,0.21203908695320253,0.21203908695320253,0.15200408115462075
protein,train,14,15000,594251982,2.59040625,causal,rotary,700000000,768,12,64,11,,,
